,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT,NPD_eORCA025_ERA5,NPD_eORCA025_JRA55,EN4,ORAS5
1981-01-01,0.6295498338235752,1.3596792990604045,-1.0052874800531815,0.4732137691343798,0.7822365045852996,-0.17448826031117606,-0.5162827205608459,1.5376605626129614,0.9429298173587516,0.3782032964093773,-0.7101141442953239,1.3988550943128495,-0.4514335088990744,-0.5385354649018712,-0.004067829743032843,-0.5651164064705353
1981-02-01,0.6085874392708827,1.3902010446790107,-0.990236970802664,0.3822790586600832,0.9448245411185988,-0.2369335112846956,-0.5782361534170196,1.0853835774936786,0.923511789060624,0.4052292892011884,-1.0436325598134355,1.4009990470094706,-0.5849021329829408,-0.5612741491667729,-0.20096062660818156,-0.7439053674447759
1981-03-01,0.5999357887357893,1.4314995843853906,-0.7674006730605089,0.20048067226256763,0.7976548980752244,-0.4070581367410473,-0.5692054701301775,0.42627112645187126,0.8738403398327715,0.5582177608822203,-0.9751125393740644,1.150297358611042,-0.5527907750817823,-0.5141001870448029,-0.18918445862764574,-0.772772097763915
1981-04-01,0.5042808387831772,1.3004090523283631,-0.6966422272534573,0.09053851465678614,0.520380598915529,-0.5615360090931693,-0.38380317386450025,-0.07572392279303851,0.756918662455543,0.8061555670334982,-0.7555955957361262,0.9267706074350679,-0.3293331917995257,-0.2608348894754847,-0.036339874799301695,-0.6543076741535585
1981-05-01,0.4485772488100616,1.1310923268506177,-0.6964171373815272,0.2242763930230484,0.21901567579206183,-0.4315152021848256,-0.31932235802255443,-0.5940987645292936,0.7656444899895164,1.251766210936822,-0.6287635182863377,0.9233568705660545,-0.16840263936269517,-0.20452648236297702,0.18842853332768372,-0.5642101324874077
1981-06-01,0.3614368526680927,1.0884730691000004,-0.6877944000692464,0.41808353249922914,0.10103295799024985,-0.11772644648058424,-0.36792177330129583,-1.016982223333314,0.6399693076725682,1.6558858442845732,-0.7275181186228116,1.1005621019190353,-0.12358859515087957,-0.2301377842202057,0.05650639427162962,-0.5111423164766071
1981-07-01,0.3157878622704293,1.240838083300811,-0.5697000073167423,0.6218127801162971,-0.023433952377417317,0.2471857849638184,-0.3937562837212176,-1.5485669916484721,0.5516920950472872,1.8612578259619408,-0.6236000391887369,1.1960335997898888,-0.1107258044444495,-0.2950451758706179,-0.22440364947513572,-0.4952730834701727
1981-08-01,0.3605244381216448,1.3753397665592832,-0.4905642716764545,0.7202635702511678,-0.19240779984347725,0.4714831562829425,-0.3584881018247082,-1.959643563579122,0.39840312878330925,1.7721809304062062,-0.4430463998622421,1.0204799479861204,-0.1352515561244851,-0.3375257879970177,-0.23002687363933427,-0.5012561402553107
1981-09-01,0.4022139468438266,1.2939129680007555,-0.501378802635879,0.7858936650608577,-0.2753499344990897,0.5229445757123331,-0.3130595991448239,-2.262514849403131,0.348563539247271,1.6326078644581774,-0.36004023726756906,0.7275847464078478,-0.16961858944165265,-0.35668416863790964,0.011122002594558375,-0.4864172272097955
1981-10-01,0.4098077842378826,1.1622423920382117,-0.5366754166221694,0.9633041454091925,-0.3796369103746767,0.4853702690900912,-0.37384059596374963,-2.504401289345728,0.2635785606984475,1.626241192390303,-0.5793200445918295,0.4980924068574961,-0.2888888231010906,-0.4270261891338474,0.249603981408248,-0.48414036499403895
1981-11-01,0.3685494440595598,1.1429995670784991,-0.5846271834401598,1.3266322318384935,-0.43420136890113414,0.29755869370537197,-0.3811197462516763,-2.4810551744830103,0.10688022996848584,1.7593767965310068,-0.7641723970534985,0.39727104323261586,-0.41986333591106534,-0.5018370557356883,0.11139845720961757,-0.4957190024113236
1981-12-01,0.34569329253833425,1.143662224819377,-0.6911727419665649,1.8432820652553732,-0.5876206182569687,0.1601570951915057,-0.40303964573395806,-2.56815522824975,0.03376706996781651,1.7763377231359991,-0.9633899542199099,0.3201659186367726,-0.43091446338771383,-0.4738868665648824,0.05248910691465073,-0.430280613301876
1982-01-01,0.3825812065910435,1.0170944222996516,-0.7494331539358146,2.1835254402437756,-0.6243267725310667,0.04141116031737881,-0.29228323145387963,-2.6050614555292886,-0.07218434635676807,1.6890572498960952,-1.0627802870516945,0.23099864685948468,-0.3367189652669332,-0.40205137965652044,0.07125316822756872,-0.33151195833472397
1982-02-01,0.42948418976934066,0.7380884993799358,-0.8006090928822146,2.119848464621955,-0.6233440382195539,-0.051004310375064865,-0.23609711543526993,-2.569010587945803,-0.29807365077437736,1.4822287234930733,-1.0158526409045285,0.23029214958767139,-0.21943597892987596,-0.30157621954530206,0.12689915031455043,-0.18367005006233308
1982-03-01,0.31339675223646063,0.4399534338990427,-0.8325825976211726,1.7968857818247133,-0.5505090433814596,0.047844972890620396,-0.11360702111076253,-2.2579558461179086,-0.703122756924035,1.1848973593392031,-0.6419191726385843,0.1343972216725098,0.006159307127493185,-0.15984548350744673,0.10580978717436934,0.04440829576453176
1982-04-01,0.0935262185094312,0.12178020681705783,-0.8270312165765995,1.4462906572837253,-0.456099908501481,0.29568616474752824,-0.027074962646354523,-1.98467565682565,-1.0879249461704312,0.8031755694900041,-0.22795286530626324,-0.07802726747824348,0.2732884802570988,0.030732825393610812,0.12656134294018095,0.3473944201277972
1982-05-01,-0.08155664240143284,-0.07849804649782731,-0.7690414865675407,1.0452459604807112,-0.20506282276460674,0.6046786053418872,0.13063240803153095,-1.7848763633985512,-1.2257669878948207,0.24956841212966915,-0.11263231671534779,-0.37378207168812166,0.5614404893086844,0.3056054222544345,0.17278253663162357,0.6452848763025746
1982-06-01,-0.208530741635202,-0.2537038321060105,-0.6321901852041549,0.4442469284777432,0.026761499623582697,0.8796618934836782,0.35791714026460153,-1.688754608949232,-1.0906197489992597,-0.2612061018322183,-0.22824839316971376,-0.5763180271562439,0.7366641005641372,0.5727705436894058,0.3064315254337513,0.8077969455458028
1982-07-01,-0.3551312171967136,-0.28195334028643526,-0.4704294516306564,-0.15248722660026942,0.042992518955226745,1.0743205193948648,0.5780064605718036,-1.4903094074691172,-0.8638582977719976,-0.7217790609790615,-0.3034916881259127,-0.7592567521308923,0.9530871405578348,0.911092792307096,0.3499516399956136,0.9954823346666969
1982-08-01,-0.6328291214836378,-0.3965203683712167,-0.21530436363940328,-0.5160524236721121,-0.1181032496105144,1.152554902062418,0.7317457295412456,-1.333046820573392,-0.7068477673629913,-0.8218618570197197,-0.2665260126080174,-0.806751752542025,1.3089247719881156,1.3295225005942417,0.787181356605665,1.2234451613501485
1982-09-01,-0.7655649136839423,-0.5394310472762666,0.014866904912480994,-0.7165349951206624,-0.1955797754269958,1.082185700037922,0.8312731862379875,-1.1456431005523784,-0.6786865684747044,-0.6248583963828392,-0.1909917765461386,-0.8278379584524868,1.8734897779323691,1.8709608494629226,1.2158778551182556,1.615296580441301
1982-10-01,-0.766611932074075,-0.7180045365213589,0.15205755713654645,-0.9814984636683892,-0.25042344918921733,0.9683298673778702,0.8985060587914434,-1.0087474500891753,-0.8531006400556097,-0.4488665015695183,-0.17574908333298914,-0.7881519660781015,2.445797984562533,2.418530564346729,1.7302035743511315,2.0306242631674842
1982-11-01,-0.6144904881658384,-0.7925227336136768,0.20985342807940474,-1.2414864021151575,-0.34400110694856245,0.9023363547664841,1.0388808022154956,-0.9557010042319222,-0.9145535660075891,-0.587856821561383,-0.11620103203842887,-0.9366705797842886,2.850791285668666,2.8404343342403884,1.8303155246271003,2.376324120968993
1982-12-01,-0.4906364665003448,-0.829826809387133,0.28127903517991903,-1.3270750979442074,-0.5016298370970883,0.8455924767248192,1.1666893459881447,-0.8422294548137055,-0.9212351875126082,-0.8682354477486935,-0.0022831263111180167,-0.9916421408319814,2.9779556030128886,2.9804014745455683,1.8409945195122719,2.554787746355568
1983-01-01,-0.3937004835160863,-0.8382873175494864,0.3847663132895412,-1.226277237390282,-0.5629375038259673,0.7699572071236407,1.17503018669243,-0.6304104856393086,-0.9185550986249811,-0.9927529172347332,-0.046933286520295554,-0.8448160602249426,2.8826739086671673,2.7724840849082906,1.7004600093016036,2.4538206831371845
1983-02-01,-0.21827905206610224,-0.7863566851965148,0.4082005458194485,-1.0141220099042132,-0.6017825641647501,0.7274637394051178,1.0216558781051044,-0.26536812793018644,-0.9902909646078765,-0.96543766848277,0.06482014303467129,-0.7002713109306199,2.5465717027488175,2.362832971217959,1.954805815133063,2.174330375042271
1983-03-01,-0.018922419204017688,-0.6814167915432369,0.36958711702673636,-0.7275949603436436,-0.6466005544199128,0.5716016100054537,0.7858756777738835,0.08341451618052563,-1.216864443523632,-1.0835332181870714,0.13707680657556895,-0.48891855415542357,2.131579686615995,1.9765028094458066,1.875598735702222,1.71824920404179
1983-04-01,0.12076759714659262,-0.5835677369941025,0.28392573199599475,-0.41168620250120186,-0.5134745164215581,0.4647987152802449,0.6260397064194968,0.44328304818335457,-1.2422137526500856,-1.1594976891960234,0.20924584683050015,-0.4815960988971681,1.7603893222822613,1.71705071639853,2.0761363176879954,1.3352054790745143
1983-05-01,0.20124685471710121,-0.48047408304150646,0.25800870889382416,-0.20528376135896187,-0.17638044656903248,0.27452937395107185,0.4988945080631036,0.9061215248808697,-1.1088308468260604,-0.8875583476911818,0.15507755885459887,-0.3728042551155691,1.3597967314041828,1.4468912260490214,1.6033648776569642,1.0316449355595885
1983-06-01,0.33124694943544575,-0.33059093764173264,0.24912470761350672,0.000403655742433127,0.07319938985224253,0.21666883924204158,0.4112048971635946,1.3962389558983537,-0.7301130640293773,-0.4320913349343464,0.02505520597017244,-0.4679899323074334,0.7661872467711462,0.877655976225442,1.2654123932092336,0.6183408074053592
1983-07-01,0.5598888708954858,-0.26519487674806014,0.3678823068659769,0.1570845311798909,0.2581713596163213,0.19952391858338467,0.32475040437691055,1.920997020670223,-0.47398973540266676,-0.1868986011509778,-0.12989560652650903,-0.4174257270062811,0.1591868066567335,0.26721441654148825,0.6093116157626524,0.16752037109904153
1983-08-01,0.7537929782556915,-0.2876259487550211,0.5407884981121649,0.3777950193816575,0.22347651446982708,0.2601418001610594,0.3301280110136505,2.1994551796642012,-0.31549156632289144,-0.26961294800045926,-0.21781573561939369,-0.28684941607154124,-0.18968583397672703,-0.23953666400003837,0.1344870999821198,-0.2718383989963853
1983-09-01,0.8468059234385107,-0.43128037239072414,0.6823941798873224,0.5144199354254974,0.275528663810483,0.3376670411823984,0.3707588821456422,2.2460419173209147,-0.14565675309124268,-0.2699876675978495,-0.271758879345905,-0.11240572797046229,-0.3595729929438811,-0.6006849402869278,-0.27232980586305694,-0.5843703314642475
1983-10-01,0.8670951477939107,-0.5227983819010662,0.8154875536514172,0.6794165506734705,0.1972285942596412,0.4255178821852735,0.4622454303025006,2.0986098816804395,0.05003040855578961,-0.14138585485372349,-0.1420586061216362,-0.1318934378466969,-0.6046517014000244,-0.9440981759596102,-0.6685704134874229,-0.811660959285474
1983-11-01,0.662299174510319,-0.580485061306215,1.023109914694593,0.8988545768717957,0.12000028107247118,0.5476139536459076,0.46315081716900514,1.9529811561962054,0.3680222071138135,-0.04830069333963281,-0.12411942703282985,-0.1939070386369887,-0.941609321253076,-1.2484647857022682,-0.9952690236158784,-1.0441394016350742
1983-12-01,0.5692119551718685,-0.6160918225825199,1.2476537299455803,1.0143021872090745,0.07172075947981639,0.7343872566878851,0.5092810668858451,1.960536757704342,0.5690375693694946,-0.13483969244117353,-0.0741306772751187,-0.13937299187039268,-1.0771394869551114,-1.2699739466575226,-1.1044522551452605,-1.029604728568722
