,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT
2025-05-01,0.28712859463944157,0.5913058608822221,0.04997685644070158,1.1966133758820459,-0.15199839810854748,-0.17669625143134568,-0.14938973851063747,1.0239958028653813,-1.5230311618467638,1.1493292528686354,0.01502863552007915,0.30445854866603245
2025-06-01,0.5633206123423283,0.5220287286052131,0.1926499646127039,1.5777355091286225,-0.4237188748419987,0.07110323413662503,0.35176271794015407,1.3733856669528988,-1.4555939958907864,1.052129716364912,0.03724072884766567,0.5462394992638043
2025-07-01,0.8605669474608734,0.4083101378900802,0.31290217699947337,1.87837135086769,-0.6508973310524602,0.2848147399322666,0.7909493767312301,1.737061000416363,-1.6752888188061743,0.7780481320671967,0.024733846192944154,0.7359431377204931
2025-08-01,1.089082508477628,0.3598425557181633,0.5522691479531697,2.1554339974965373,-0.7079566551211003,0.4800490703653329,1.0531858361872724,2.011900663337725,-1.9687742707791827,0.36445054291383355,-0.13716579122041503,0.8002285759218631
2025-09-01,1.3641137906626597,0.449731619455734,0.7680955813450644,2.4592908043332624,-0.7171151094360156,0.6971311298345949,1.2165562083486818,2.1077145672687383,-2.1108687715057375,0.12110895338795764,-0.21340615890751502,0.9303631697079243
2025-10-01,1.5134908407023098,0.6618245855842657,0.8882979761455246,2.803947509133996,-0.7462960044705439,0.7808802176502782,1.304941351662362,2.091336423364705,-2.0841063016456647,-0.05068602616166401,-0.14726825075777225,0.8864656853632223
2025-11-01,1.6361232109883115,0.9329246430682488,1.0584566175054357,3.056660952810501,-0.8906218017738013,0.7129011289711874,1.3325790737608927,1.9935239521880608,-2.0306041026965733,-0.07089584337659983,0.04566041017737745,0.8550185892465455
2025-12-01,1.6329164862548888,1.081067316185955,1.308684951397358,3.125779263733513,-1.0566368421893237,0.5773556572497219,1.534742561205869,1.9190723730785926,-2.178883413589956,0.07454619740676616,0.34059346431594206,0.8033263671554031
2026-01-01,1.6082615680359817,1.1463408722755972,1.484771990920824,2.9905393548125327,-0.9468122202835055,0.47383061202759214,1.6186765629293525,1.880788916187771,-2.39701674988271,0.02569550939531658,0.4681773929995887,0.8979602757138512
2026-02-01,1.4721750080018587,1.3366397375431525,1.4012567366588897,2.744066548211458,-0.8418484769851055,0.43488852508085146,1.6903843295844432,1.7171686688666663,-2.466162859213043,0.008987408143173994,0.5118416118501238,0.891288043699051
2026-03-01,1.269485076727907,1.5444365498931383,0.9504253734681923,2.372520480308914,-0.591828772384194,0.47324386229802967,1.5635295888723408,1.645944215638907,-2.2389308904780387,-0.0587063520546865,0.4874680037502462,0.7467863265754446
2026-04-01,0.9176922374288465,1.8146404849864475,0.6334629927597045,1.872352226186683,-0.3784894486793457,0.5094750029936229,1.5512760443337041,1.6211508846056903,-1.8300473354269193,-0.07745913582712423,0.4424516654574345,0.6328352618157772
2026-05-01,0.5719091611212377,1.935983660839095,0.19416212828379587,0.9900689954481497,-0.02395567786871251,0.41330680875841025,1.570929418590479,1.3433149328189709,-1.5962367401268616,-0.1220777334074219,0.4061944860364224,0.8409960034439884
